Id,Nome,R,Sq,QtA,FVM,n_stagioni,trend,deltaFM_recente,PV_medie,FM_23_24,FM_24_25,FM_25_26,tier_23_24,tier_24_25,tier_25_26
2188,Marusic,D,Lazio,8,12,3,altalenante,-0.19,33.7,5.68,6.1,5.91,D,C,C
4751,Tomori,D,Milan,8,21,3,altalenante,0.08,25,6.3,5.75,5.83,B,D,D
2724,Buongiorno,D,Napoli,8,13,3,calante,-0.58,27.7,6.64,6.41,5.83,A,B,D
6663,Circati,D,Parma,8,13,2,dato singolo,,18.5,,5.92,5.98,,,C
4665,Maripan,D,Torino,8,8,2,stabile,0.1,27,,6.02,6.12,,C,C
6631,Ghilardi,D,Roma,8,11,2,stabile,0.24,22.5,,5.62,5.86,,D,D
6672,Idzes,D,Sassuolo,8,12,2,stabile,-0.02,35,,5.99,5.97,,C,C
787,Djimsiti,D,Atalanta,7,13,3,stabile,-0.17,34,6.01,6.0,5.83,C,C,D
2640,Kolasinac,D,Atalanta,7,12,3,stabile,-0.28,23,6.07,6.13,5.85,C,C,D
6042,Lucumì,D,Bologna,7,12,3,stabile,0.18,29.7,6.09,5.75,5.93,C,D,C
5701,Obert,D,Cagliari,7,13,3,altalenante,-0.09,22,5.35,6.0,5.91,D,C,C
6660,Marcandalli,D,Genoa,7,12,2,dato singolo,,19.5,,5.69,5.85,,,D
6814,Norton-Cuffy,D,Genoa,7,14,2,crescente,0.46,18.5,,5.65,6.11,,D,C
7012,Provstgaard,D,Lazio,7,12,2,dato singolo,,12.5,,6.0,5.85,,,D
5812,Terracciano F.,D,Cremonese,7,11,3,stabile,0.08,20.7,5.82,5.57,5.9,D,,C
4772,Angelino,D,Roma,7,7,3,crescente,0.39,20.3,5.97,6.36,5.64,C,B,
6426,Pedersen,D,Torino,7,12,3,stabile,0.33,24.7,5.72,5.63,5.96,D,D,C
6047,Ehizibue,D,Udinese,7,10,3,stabile,0.18,26.3,5.75,5.78,5.96,D,D,C
6639,Frese,D,Verona,7,12,2,dato singolo,,19,,5.79,5.89,,,C
6046,Hien,D,Atalanta,6,10,3,stabile,0.17,26.3,5.82,5.79,5.96,D,D,C
5578,Kossounou,D,Atalanta,6,8,2,stabile,0.0,17,,5.94,5.94,,D,C
4887,Bellanova,D,Atalanta,6,11,3,calante,-0.49,31,6.4,6.24,5.75,B,B,D
4461,Zappa,D,Cagliari,6,8,3,stabile,0.09,32.7,5.89,5.93,6.02,D,D,C
7014,Smolcic I.,D,Como,6,12,2,dato singolo,,16.5,,5.81,5.96,,,C
4378,Ranieri L.,D,Fiorentina,6,10,3,stabile,-0.23,30.7,5.92,5.97,5.74,C,D,D
5449,Parisi,D,Fiorentina,6,12,3,crescente,-0.05,21.3,5.76,6.12,6.07,D,C,C
5739,De Winter,D,Milan,6,10,3,stabile,-0.25,25.7,5.84,6.1,5.85,D,C,D
