Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
574,Scuffet,NAP,14,5.93,4.21,0,24,0,0,0,0,0,0
610,Gollini,ROM,7,5.93,4.14,0,15,0,0,1,0,1,0
6682,Pizzignacco,MON,9,6.06,3.94,0,17,0,0,0,0,0,0
761,Audero,COM,8,5.88,3.62,0,18,0,0,0,0,0,0
2211,Silvestri,EMP,5,5.8,3.6,0,11,0,0,0,0,0,0
5320,Paleari,TOR,1,6.5,3.5,0,3,0,0,0,0,0,0
2553,Alli,COM,1,4.5,3.5,0,0,0,0,0,0,0,1
4425,Joronen,VEN,8,5.56,3.44,0,15,0,0,0,0,0,0
6919,Seghetti,EMP,1,6.0,3.0,0,3,0,0,0,0,0,0
6661,Chichizola,PAR,1,5.5,2.5,0,3,0,0,0,0,0,0
2297,Rossi F.,ATA,0,0.0,0.0,0,0,0,0,0,0,0,0
2130,Hateboer,ATA,0,0.0,0.0,0,0,0,0,0,0,0,0
2137,Scamacca,ATA,0,0.0,0.0,0,0,0,0,0,0,0,0
6229,Toure' E.,ATA,0,0.0,0.0,0,0,0,0,0,0,0,0
5822,Bagnolini,BOL,0,0.0,0.0,0,0,0,0,0,0,0,0
6551,Ilic M.,BOL,0,0.0,0.0,0,0,0,0,0,0,0,0
6407,Corazza,BOL,0,0.0,0.0,0,0,0,0,0,0,0,0
6225,El Azzouzi,BOL,0,0.0,0.0,0,0,0,0,0,0,0,0
3,Radunovic,CAG,0,0.0,0.0,0,0,0,0,0,0,0,0
6438,Hatzidiakos,CAG,0,0.0,0.0,0,0,0,0,0,0,0,0
6636,Veroli,CAG,0,0.0,0.0,0,0,0,0,0,0,0,0
5406,Di Pardo,CAG,0,0.0,0.0,0,0,0,0,0,0,0,0
1987,Jankto,CAG,0,0.0,0.0,0,0,0,0,0,0,0,0
2809,Vigorito,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
2602,Varane,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
6637,Kovacik,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
4438,Cassandro,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
6162,Abildgaard,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
6655,Bellemo,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
6648,Jasim,COM,0,0.0,0.0,0,0,0,0,0,0,0,0
